Timestamp,Reading,Inserting,Updating,Deleting,1 Simul. Reader,50 Simul. Reader,100 Simul. Reader,1 Simul. Task,50 Simul. Task,100 Simul. Task,1 Simul. Transaction,50 Simul. Transaction,100 Simul. Transaction
99.4223,7.64e-05,7.66e-05,0.000114,4.36e-05,4.92e-05,0.0035712,0.0068488,6.04e-05,0.0031436,0.0068892,0.00103,0.0436528,0.0941388
100.439,0.000154,0.0001424,0.000205,7.24e-05,8.8e-05,0.0072758,0.0149634,7.66e-05,0.0055732,0.0094808,0.0008774,0.0638432,0.100078
101.371,6.78e-05,6.74e-05,0.0001152,4.5e-05,4.66e-05,0.0051918,0.011086,7.9e-05,0.0041236,0.0072832,0.0010124,0.045694,0.111195
102.236,9.88e-05,7.8e-05,0.0001204,4.9e-05,5.84e-05,0.0048492,0.0112578,8.52e-05,0.003864,0.007238,0.0010084,0.0464748,0.097443
103.186,0.000129,8.76e-05,0.0001298,4.78e-05,5.2e-05,0.0057144,0.0106772,7.54e-05,0.004297,0.0079886,0.0011044,0.049184,0.110027
104.116,0.000122,0.0001236,0.0001742,6.2e-05,6.92e-05,0.007238,0.0137792,0.0001086,0.0044592,0.0079726,0.0011412,0.055063,0.095137
105.08,7.72e-05,6.76e-05,0.0001136,4.18e-05,6.28e-05,0.005818,0.0119432,7.72e-05,0.004326,0.0078634,0.001277,0.0522412,0.108602
106.079,7.08e-05,6.24e-05,0.0001214,4.38e-05,5.22e-05,0.006112,0.01173,9.94e-05,0.004246,0.0074674,0.0009206,0.0497486,0.118756
107.037,8.48e-05,7.44e-05,0.0001226,4.58e-05,5.12e-05,0.006081,0.011284,6.92e-05,0.0039564,0.0077248,0.0010748,0.0513366,0.109182
108.001,0.0001046,8.84e-05,0.0001324,5.1e-05,5.12e-05,0.0056972,0.0115696,7.36e-05,0.00435,0.0156192,0.0015456,0.0535728,0.0995876
108.977,8.86e-05,8.18e-05,0.0001442,7.3e-05,6.06e-05,0.0065756,0.0123994,9.2e-05,0.0044754,0.0081882,0.0016018,0.058844,0.101655
109.913,0.0001012,0.0001096,0.0001442,8.34e-05,5.36e-05,0.0053938,0.0110284,0.0001218,0.004943,0.0080712,0.0009788,0.0467284,0.108955
110.839,8.34e-05,9.82e-05,0.0001284,6.5e-05,5.02e-05,0.0051844,0.0109456,5.82e-05,0.0042428,0.0084162,0.0012152,0.0489346,0.105286
111.752,0.0001088,9.32e-05,0.000131,4.96e-05,5.94e-05,0.0060624,0.0108306,7.58e-05,0.0042644,0.0083624,0.0011126,0.048345,0.10263
112.649,0.0001322,0.0001024,0.0001424,6e-05,5.46e-05,0.0052844,0.010979,6.1e-05,0.0036972,0.0083404,0.0010376,0.0468252,0.102287
113.666,0.0001324,0.0001328,0.0001808,8.16e-05,7.14e-05,0.00689,0.0129706,9.64e-05,0.004417,0.0084014,0.0012512,0.0599422,0.108495
114.577,9.64e-05,8.7e-05,0.0001202,4.44e-05,4.68e-05,0.0053542,0.011973,7.32e-05,0.0041464,0.009142,0.0012178,0.047143,0.102275
115.5,9.28e-05,8.44e-05,0.0001446,5.78e-05,4.84e-05,0.0056228,0.0159986,8.34e-05,0.0046094,0.008925,0.0011006,0.0478638,0.099517
116.465,0.0001006,0.0001004,0.0001456,5.38e-05,5.14e-05,0.0061408,0.0121754,8.12e-05,0.0042774,0.0096836,0.0024766,0.0533216,0.103889
117.453,8.7e-05,9.44e-05,0.000138,6.92e-05,6.92e-05,0.0074208,0.013495,9.24e-05,0.005191,0.008507,0.0012056,0.0576418,0.103178
118.39,0.0001196,9.3e-05,0.0001518,5.88e-05,6.64e-05,0.0064184,0.011597,7.78e-05,0.0040578,0.0077052,0.0011352,0.0488322,0.106592
119.287,0.0001108,0.0001128,0.0001564,5.28e-05,6.36e-05,0.0059578,0.0113544,8.58e-05,0.0041718,0.0074998,0.00108,0.0445824,0.103705
120.147,9.18e-05,8.02e-05,0.0001314,5e-05,4.84e-05,0.004983,0.011095,6.14e-05,0.0040648,0.0072656,0.0016446,0.0481386,0.093991
121.01,8.42e-05,7.46e-05,0.0001134,5.16e-05,4.48e-05,0.006135,0.0114356,6.48e-05,0.0038416,0.0082244,0.0009884,0.0458426,0.095263
121.849,7.7e-05,6.36e-05,0.0001026,5.1e-05,5.72e-05,0.038708,0.0108352,8.64e-05,0.0040856,0.0084224,0.0008956,0.034887,0.0692114
122.689,0.0001048,8.44e-05,0.000113,4.7e-05,5.56e-05,0.0031878,0.0062886,7.58e-05,0.00288,0.0050312,0.0008222,0.0432712,0.10552
123.379,8.18e-05,9.54e-05,0.0001296,6.46e-05,6.06e-05,0.0037216,0.0070006,8e-05,0.0034472,0.006549,0.000871,0.0387762,0.0767484
124.177,0.0001098,0.000135,0.0002286,8.64e-05,8e-05,0.0081782,0.0109034,8.36e-05,0.00418,0.0088138,0.000903,0.0542214,0.0712708
124.897,7.52e-05,6.82e-05,0.0001146,4.34e-05,4.86e-05,0.0032078,0.0061552,6.82e-05,0.00272,0.00551,0.0008486,0.0342202,0.0904468
125.614,7.42e-05,0.0001022,0.0001492,4.3e-05,4.82e-05,0.0096286,0.0143228,7.4e-05,0.0039802,0.0071664,0.0007824,0.0355568,0.0711628
126.366,0.0001038,8.04e-05,0.0001166,5.02e-05,4.72e-05,0.0032878,0.0064474,5.56e-05,0.0029314,0.0051216,0.0007968,0.0343154,0.0966034
127.21,8.1e-05,8.36e-05,0.0001414,5.52e-05,5.5e-05,0.0071988,0.0132568,8.56e-05,0.0053238,0.00943,0.0010982,0.0561926,0.0754274
127.832,9.7e-05,7.88e-05,0.0001198,5.38e-05,5.42e-05,0.003089,0.0061608,6.06e-05,0.0027898,0.0052234,0.0007774,0.0343428,0.0712274
128.571,7.92e-05,7.16e-05,0.0001208,5.02e-05,5.4e-05,0.0030734,0.0062894,6.7e-05,0.0029004,0.0111218,0.0009208,0.0409426,0.081519
